Best parameters: {'learning_rate': 1000, 'max_depth': 10, 'n_estimators': 2}
0.149 (+/-0.119) for {'learning_rate': 0.1, 'max_depth': 28, 'n_estimators': 10}
0.000 (+/-0.000) for {'learning_rate': 0.1, 'max_depth': 36, 'n_estimators': 1}
0.000 (+/-0.000) for {'learning_rate': 0.1, 'max_depth': 36, 'n_estimators': 2}
0.000 (+/-0.000) for {'learning_rate': 0.1, 'max_depth': 36, 'n_estimators': 4}
0.151 (+/-0.115) for {'learning_rate': 0.1, 'max_depth': 36, 'n_estimators': 6}
0.151 (+/-0.115) for {'learning_rate': 0.1, 'max_depth': 36, 'n_estimators': 8}
0.149 (+/-0.119) for {'learning_rate': 0.1, 'max_depth': 36, 'n_estimators': 10}
0.201 (+/-0.211) for {'learning_rate': 1, 'max_depth': 6, 'n_estimators': 1}
0.063 (+/-0.154) for {'learning_rate': 1, 'max_depth': 6, 'n_estimators': 2}
0.150 (+/-0.110) for {'learning_rate': 1, 'max_depth': 6, 'n_estimators': 4}
0.203 (+/-0.193) for {'learning_rate': 1, 'max_depth': 6, 'n_estimators': 6}
0.203 (+/-0.193) for {'learning_rate': 1, 'max_depth': 6, 'n_estimators': 8}
0.188 (+/-0.152) for {'learning_rate': 1, 'max_depth': 6, 'n_estimators': 10}
0.201 (+/-0.217) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 1}
0.171 (+/-0.216) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 2}
0.202 (+/-0.200) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 4}
0.230 (+/-0.236) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 6}
0.201 (+/-0.162) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 8}
0.227 (+/-0.196) for {'learning_rate': 1, 'max_depth': 10, 'n_estimators': 10}
0.214 (+/-0.201) for {'learning_rate': 1, 'max_depth': 16, 'n_estimators': 1}
0.177 (+/-0.207) for {'learning_rate': 1, 'max_depth': 16, 'n_estimators': 2}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 16, 'n_estimators': 4}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 16, 'n_estimators': 6}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 16, 'n_estimators': 8}
0.209 (+/-0.173) for {'learning_rate': 1, 'max_depth': 16, 'n_estimators': 10}
0.214 (+/-0.201) for {'learning_rate': 1, 'max_depth': 22, 'n_estimators': 1}
0.177 (+/-0.207) for {'learning_rate': 1, 'max_depth': 22, 'n_estimators': 2}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 22, 'n_estimators': 4}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 22, 'n_estimators': 6}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 22, 'n_estimators': 8}
0.209 (+/-0.173) for {'learning_rate': 1, 'max_depth': 22, 'n_estimators': 10}
0.214 (+/-0.201) for {'learning_rate': 1, 'max_depth': 28, 'n_estimators': 1}
0.177 (+/-0.207) for {'learning_rate': 1, 'max_depth': 28, 'n_estimators': 2}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 28, 'n_estimators': 4}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 28, 'n_estimators': 6}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 28, 'n_estimators': 8}
0.209 (+/-0.173) for {'learning_rate': 1, 'max_depth': 28, 'n_estimators': 10}
0.214 (+/-0.201) for {'learning_rate': 1, 'max_depth': 36, 'n_estimators': 1}
0.177 (+/-0.207) for {'learning_rate': 1, 'max_depth': 36, 'n_estimators': 2}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 36, 'n_estimators': 4}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 36, 'n_estimators': 6}
0.211 (+/-0.186) for {'learning_rate': 1, 'max_depth': 36, 'n_estimators': 8}
0.209 (+/-0.173) for {'learning_rate': 1, 'max_depth': 36, 'n_estimators': 10}
0.317 (+/-0.126) for {'learning_rate': 10, 'max_depth': 6, 'n_estimators': 1}
0.038 (+/-0.105) for {'learning_rate': 10, 'max_depth': 6, 'n_estimators': 2}
0.178 (+/-0.262) for {'learning_rate': 10, 'max_depth': 6, 'n_estimators': 4}
0.179 (+/-0.263) for {'learning_rate': 10, 'max_depth': 6, 'n_estimators': 6}
0.178 (+/-0.265) for {'learning_rate': 10, 'max_depth': 6, 'n_estimators': 8}
0.174 (+/-0.258) for {'learning_rate': 10, 'max_depth': 6, 'n_estimators': 10}
0.308 (+/-0.139) for {'learning_rate': 10, 'max_depth': 10, 'n_estimators': 1}
0.209 (+/-0.132) for {'learning_rate': 10, 'max_depth': 10, 'n_estimators': 2}
0.220 (+/-0.068) for {'learning_rate': 10, 'max_depth': 10, 'n_estimators': 4}
0.212 (+/-0.053) for {'learning_rate': 10, 'max_depth': 10, 'n_estimators': 6}
0.212 (+/-0.053) for {'learning_rate': 10, 'max_depth': 10, 'n_estimators': 8}
0.212 (+/-0.053) for {'learning_rate': 10, 'max_depth': 10, 'n_estimators': 10}
0.301 (+/-0.179) for {'learning_rate': 10, 'max_depth': 16, 'n_estimators': 1}
0.203 (+/-0.192) for {'learning_rate': 10, 'max_depth': 16, 'n_estimators': 2}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 16, 'n_estimators': 4}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 16, 'n_estimators': 6}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 16, 'n_estimators': 8}
